NCBI_Accession	Directory_Name	Species	Common_Name
GCA_041475435.1	Gubernatrix_cristata__Yellow_cardinal__HLgubCris1__GCA_041475435.1	Gubernatrix cristata	Yellow cardinal
GCA_021437205.1	Catharus_bicknelli__Bicknells_thrush__HLcatBic1__GCA_021437205.1	Catharus bicknelli	Bicknells thrush
GCA_013398975.1	Catharus_fuscescens__veery__HLcatFus1__GCA_013398975.1	Catharus fuscescens	veery
GCA_051295615.1	Catharus_guttatus__Hermit_thrush__HLcatGutt1__GCA_051295615.1	Catharus guttatus	Hermit thrush
GCA_021437185.1	Catharus_minimus__Gray_cheeked_thrush__HLcatMin1__GCA_021437185.1	Catharus minimus	Gray cheeked thrush
GCA_009819885.1	Catharus_ustulatus__Swainsons_thrush__HLcatUst1__GCA_009819885.1	Catharus ustulatus	Swainsons thrush
GCA_903797595.1	Erithacus_rubecula__European_robin__HLeriRub1__GCA_903797595.1	Erithacus rubecula	European robin
GCA_034336685.1	Luscinia_luscinia__Thrush_nightingale__HLlusLusc1__GCA_034336685.1	Luscinia luscinia	Thrush nightingale
GCA_034336665.1	Luscinia_megarhynchos__Nightingale__HLlusMega1__GCA_034336665.1	Luscinia megarhynchos	Nightingale
GCA_009812075.1	Sialia_sialis__eastern_bluebird__HLsiaSia1__GCA_009812075.1	Sialia sialis	eastern bluebird
GCA_965287035.1	Turdus_iliacus__Redwing__HLturIlia1__GCA_965287035.1	Turdus iliacus	Redwing
GCA_965287015.2	Turdus_merula__Blackbird__HLturMeru1__GCA_965287015.2	Turdus merula	Blackbird
GCA_052324695.1	Turdus_migratorius__American_robin__HLturMigr1A__GCA_052324695.1	Turdus migratorius	American robin
GCA_965287025.1	Turdus_philomelos__Song_thrush__HLturPhil1__GCA_965287025.1	Turdus philomelos	Song thrush
GCA_013186435.1	Turdus_rufiventris__rufous-bellied_thrush__HLturRuf1__GCA_013186435.1	Turdus rufiventris	rufous-bellied thrush
GCA_023644505.1	Empidonax_alnorum__alder_flycatcher__HLempAln1__GCA_023644505.1	Empidonax alnorum	alder flycatcher
GCA_003031625.1	Empidonax_traillii__willow_flycatcher__HLempTra1__GCA_003031625.1	Empidonax traillii	willow flycatcher
GCA_013397495.1	Mionectes_macconnelli__McConnells_flycatcher__HLmioMac1__GCA_013397495.1	Mionectes macconnelli	McConnells flycatcher
GCA_013397415.1	Neopipo_cinnamomea__Cinnamon_manakin__HLneoCin1__GCA_013397415.1	Neopipo cinnamomea	Cinnamon manakin
GCA_013397825.1	Onychorhynchus_coronatus__Tropical_royal_flycatcher__HLonyCor1__GCA_013397825.1	Onychorhynchus coronatus	Tropical royal flycatcher
GCA_013397135.1	Pachyramphus_minor__Pink-throated_becard__HLpacMin1__GCA_013397135.1	Pachyramphus minor	Pink-throated becard
GCA_038380795.1	Pyrocephalus_nanus__Galapagos_flycatcher__HLpyrNan1__GCA_038380795.1	Pyrocephalus nanus	Galapagos flycatcher
GCA_013398745.1	Sapayoa_aenigma__broad-billed_sapayoa__HLsapAen1__GCA_013398745.1	Sapayoa aenigma	broad-billed sapayoa
GCA_055470965.1	Sayornis_phoebe__Eastern_phoebe__HLsayPhoe1A__GCA_055470965.1	Sayornis phoebe	Eastern phoebe
